id,option_type,entry_price,entry_time,exit_price,exit_time,quantity,dte,strike,delta,qsci,implied_vol,pnl,pnl_after_fees,total_fees_paid,rolled_count,status,multi_tf_score,sentiment_score,regime,trade_return
1936,PUT,892.1192180550679,2021-05-18T23:00:00,987.7887961368033,2025-12-06T11:39:02.029290,1,13.833333333333334,41800,-0.3879689470520924,-0.21790972277741816,0.4159087019107741,95.66957808173538,75.55456232988236,20.115015751853022,0,CLOSED,-0.16997996225004514,-0.38912089365549635,train,0.08469110495635417
1937,PUT,1116.905588334981,2021-05-19T05:00:00,1023.6563854927754,2025-12-06T11:39:02.031253,1,13.833333333333334,38100,-0.35286885260547507,-0.4166505026287831,0.5288595500832437,-93.2492028422057,-116.1532159621627,22.904013119956993,0,CLOSED,-0.2840365077660815,-0.3987200840169408,train,-0.10399555448130336
1938,PUT,1435.795842708536,2021-05-19T11:00:00,3949.041204870764,2025-12-06T11:39:02.033234,1,13.833333333333334,37700,-0.6435938566616468,-0.31626602223293354,0.7764473044023513,2513.245362162228,2455.6276057531295,57.61775640909851,0,CLOSED,-0.23636519081428492,-0.3998494191645091,train,1.7102902325728615
1939,PUT,1731.0193255119757,2021-05-21T17:00:00,2306.5920073364878,2025-12-06T11:39:02.054044,1,13.666666666666668,36400,-0.494197825284466,-0.2931605252452981,0.7634825589370068,575.5726818245121,532.3702405630335,43.20244126147856,0,CLOSED,-0.18166000634789417,-0.3173994286657464,train,0.3075472542200398
1940,PUT,1626.8919315481708,2021-05-22T05:00:00,1324.8737696090066,2025-12-06T11:39:02.059710,1,13.500000000000002,35500,-0.36604288690529396,-0.21044071235954026,0.6911652836440006,-302.0181619391642,-333.602054941546,31.583893002381796,0,CLOSED,-0.16205731077068575,-0.018889176080874683,train,-0.2050548339889338
1941,CALL,1490.1855787229324,2021-05-22T11:00:00,1251.3760652602323,2025-12-06T11:39:02.062562,1,13.500000000000002,39200,0.40760932761897845,0.32664522619244796,0.6290256074526772,-238.80951346270012,-268.14422305332,29.334709590619866,0,CLOSED,0.20303899103488499,0.17996972350009913,train,-0.1799401543552151
1942,PUT,892.5519885533504,2021-05-23T05:00:00,981.9074280680961,2025-12-06T11:39:02.069514,1,13.833333333333334,35900,-0.3909553465059614,-0.2932535379864668,0.4730932805300126,89.35543951474574,69.29872375689627,20.056715757849474,0,CLOSED,-0.22441981945596498,-0.3311309972390216,train,0.07764110622756636
1943,PUT,1215.6197863754187,2021-05-23T11:00:00,2081.3280045987826,2025-12-06T11:39:02.071825,1,13.833333333333334,34500,-0.5250405672407275,-0.21086095056650764,0.6418793742952029,865.7082182233639,830.43087685994,35.27734136342396,0,CLOSED,-0.152366227306863,-0.3918976306941737,train,0.6831337282983965
1944,PUT,1638.3278174689422,2021-05-23T17:00:00,1492.052229475048,2025-12-06T11:39:02.074862,1,13.666666666666668,31900,-0.37882013340299037,-0.2771972791391668,0.808191988207814,-146.27558799389408,-179.77065449619477,33.495066502300695,0,CLOSED,-0.2308479436678304,-0.39904676435353886,train,-0.10972813412514903
1945,CALL,1278.2416745367136,2021-05-24T08:00:00,1068.9189001431205,2025-12-06T11:39:02.078987,1,13.833333333333334,37600,0.3926331000708354,0.31533978051229783,0.5824220537871588,-209.32277439359314,-234.43739254266737,25.114618149074225,0,CLOSED,0.17194208694400695,0.37747767776379193,train,-0.18340615645131186
1946,CALL,1182.6316224530583,2021-05-24T14:00:00,1109.4669831962874,2025-12-06T11:39:02.080929,1,13.833333333333334,38700,0.4098685879544831,0.3184263558856135,0.5460315702959968,-73.1646392567709,-97.6900943372189,24.525455080447998,0,CLOSED,0.14803137414810902,0.3973502713112324,train,-0.08260399306301863
1947,CALL,1230.0543231439642,2021-05-24T20:00:00,1022.6541566797878,2025-12-06T11:39:02.082774,1,13.833333333333334,40000,0.37843318656469377,0.29413268687115657,0.5509344189714392,-207.40016646417644,-231.50414719829058,24.103980734114145,0,CLOSED,0.2515834011458331,0.3996882620694952,train,-0.18820644165257375
1948,CALL,769.7356012650398,2021-05-26T05:00:00,1424.0048165105898,2025-12-06T11:39:02.094594,1,13.833333333333334,40200,0.5634822126675474,0.2608688061474196,0.3891601539291982,654.26921524555,630.7961927753507,23.473022470199236,0,CLOSED,0.22963607897301144,0.37766991760869817,train,0.8194972296183964
